"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-3.38541128121922,0.329462444090202,-10.2755605136358,9.08149926623625e-25
"original_masc",1.8204710820012,0.190161503934318,9.57328925327599,1.03557478065785e-21
"original_fem",2.7054854275971,0.191901886179966,14.0982742872047,3.89170396816622e-45
"context_fem",-0.181515080882031,0.307352772112698,-0.59057570762848,0.554804745479264
"context_neut",-1.29637036406128,0.428940952305466,-3.02225832505283,0.00250896336414273
"prompt_gender_dec",1.19131855078455,0.0565207678329245,21.0775365668438,1.27867917254924e-98
"prompt_pronoun_dec",0.947232014778454,0.0559422933859194,16.9323057287614,2.59993006672236e-64
"prompt_masc",0.231154856350107,0.0998111891574449,2.31592127397136,0.0205625675330522
"prompt_fem",0.28288795586724,0.0995956504047892,2.84036456127844,0.00450620034919185
"original_masc:context_fem",0.264264565720396,0.210878197040661,1.25316210698369,0.210146717218355
"original_fem:context_masc",0.603724756015764,0.215847505719311,2.79699667598129,0.00515800639384807
"context_neut:original_gend",1.67595476682372,0.275248165150933,6.08888624527146,1.13698866315006e-09
"original_masc:prompt_fem",1.47024727206052,0.104341439569237,14.0907321015532,4.33048834913701e-45
"original_fem:prompt_masc",1.6084960026482,0.10702832479936,15.028694559721,4.76299866195191e-51
"original_gend:prompt_neut",1.40557175159785,0.112161454674517,12.5316826148226,5.00885832658162e-36
