"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-5.00622971764223,0.311935516000574,-16.0489250529363,5.81626906909103e-58
"original_masc",1.39203173876792,0.212896235175153,6.53854558594085,6.21199519362204e-11
"original_fem",1.89069887673578,0.213306585480652,8.86376232817848,7.73585754564971e-19
"context_fem",0.665544368449555,0.273442194527675,2.43394904579072,0.0149350973633203
"context_neut",-0.466084204271801,0.385745484708785,-1.20826872315477,0.226943914958548
"prompt_gender_dec",2.81179591711612,0.0726965816996636,38.6785162572386,0
"prompt_pronoun_dec",2.40092807502682,0.0698751022499936,34.3602799526071,9.89057276184669e-259
"prompt_masc",0.407048978962094,0.113556268152504,3.58455755533842,0.000337650102822616
"prompt_fem",0.250572011230475,0.114647447305518,2.18558735601622,0.0288458084976164
"original_masc:context_fem",-0.366734730967999,0.233662000859095,-1.56950950355488,0.116529266794133
"original_fem:context_masc",0.838202320126009,0.23348503939007,3.58996157662021,0.000330726708701638
"context_neut:original_gend",1.6228912618883,0.306615174876435,5.29292544813648,1.2037500213315e-07
"original_masc:prompt_fem",3.97613952254641,0.125047842486982,31.7969462204864,7.13382761187379e-222
"original_fem:prompt_masc",3.22328355594315,0.120568702726598,26.73399881603,1.89532715694996e-157
"original_gend:prompt_neut",3.55890711427416,0.132801366262891,26.7987236458774,3.34383029350227e-158
