"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-3.93434156583044,0.361109136082042,-10.8951593097788,1.2155365140222e-27
"original_masc",2.43128368809785,0.202247759595934,12.0213133285395,2.74572301027053e-33
"original_fem",3.3056293947245,0.204653938652306,16.152288182152,1.09426036821185e-58
"context_fem",0.835447814765727,0.338802315668489,2.46588578687047,0.0136674906590729
"context_neut",-1.09577052351052,0.472225682156708,-2.32043822459214,0.020317183100196
"prompt_gender_dec",1.27529800735868,0.0589812749249516,21.6220827539144,1.11337854064325e-103
"prompt_pronoun_dec",0.937566958492686,0.0581977878033396,16.1100102577934,2.16987877049631e-58
"prompt_masc",0.0271973758575895,0.103583469336613,0.262564828459324,0.792886011915878
"prompt_fem",0.0568127427460629,0.103414438084143,0.549369544510188,0.582751870200114
"original_masc:context_fem",-0.527239715628618,0.219956347922235,-2.39701977510111,0.0165290316300427
"original_fem:context_masc",0.784097872420458,0.224226409704734,3.49690240972494,0.000470693989479277
"context_neut:original_gend",2.55284166670414,0.294539314104937,8.667235728656,4.42737721524001e-18
"original_masc:prompt_fem",2.04583600278538,0.109813831140686,18.6300394179346,1.83389188371949e-77
"original_fem:prompt_masc",1.52501393356304,0.109638601763266,13.9094617136388,5.5495526380522e-44
"original_gend:prompt_neut",1.93892852908675,0.117676864166315,16.4767181962499,5.39341913598848e-61
